Hand_ID,Total_Bet,Total_Won,Net_Result,Total
RC3192502161,0.74,0.0,-0.74,-2.32
RC3192502001,0.22,0.0,-0.22,-2.54
RC3192501944,0.05,0.0,-0.05,-2.59
RC3192501564,5.01,9.2,4.1899999999999995,1.6
RC3205950679,3.02,0.0,-3.02,-1.42
RC3205950638,0.0,0.0,0.0,-1.42
RC3205950605,0.0,0.0,0.0,-1.42
RC3205950576,0.0,0.0,0.0,-1.42
RC3205950476,0.1,0.15000000000000002,0.05000000000000002,-1.37
RC3205950448,0.0,0.0,0.0,-1.37
RC3205950272,2.79,3.07,0.2799999999999998,-1.09
RC3205950241,0.0,0.0,0.0,-1.09
RC3205949980,0.8,0.0,-0.8,-1.89
RC3205949945,0.0,0.0,0.0,-1.89
RC3205949909,0.05,0.0,-0.05,-1.94
RC3205949676,0.13,0.0,-0.13,-2.07
RC3205949410,0.62,0.0,-0.62,-2.69
RC3205949135,0.63,0.95,0.31999999999999995,-2.37
RC3205949106,0.0,0.0,0.0,-2.37
RC3205949078,0.0,0.0,0.0,-2.37
RC3205949047,0.05,0.0,-0.05,-2.42
RC3205948745,0.25,0.0,-0.25,-2.67
RC3205948626,0.1,0.0,-0.1,-2.77
RC3205948600,0.0,0.0,0.0,-2.77
RC3205948553,0.0,0.0,0.0,-2.77
RC3205948527,0.0,0.0,0.0,-2.77
RC3205948467,0.05,0.0,-0.05,-2.82
RC3205948446,0.0,0.0,0.0,-2.82
RC3205948276,0.1,0.0,-0.1,-2.92
RC3205948246,0.0,0.0,0.0,-2.92
RC3205948217,0.0,0.0,0.0,-2.92
RC3205948189,0.0,0.0,0.0,-2.92
RC3205948160,0.0,0.0,0.0,-2.92
RC3205947960,0.1,0.0,-0.1,-3.02
RC3205947931,0.05,0.0,-0.05,-3.07
RC3205947842,0.0,0.0,0.0,-3.07
RC3205947811,0.0,0.0,0.0,-3.07
RC3205947783,0.0,0.0,0.0,-3.07
RC3205947622,0.5,0.77,0.27,-2.8
RC3205947593,0.0,0.0,0.0,-2.8
RC3205947521,0.1,0.0,-0.1,-2.9
RC3205947409,0.25,0.4,0.15000000000000002,-2.75
RC3205947310,0.25,0.4,0.15000000000000002,-2.6
RC3205947277,0.0,0.0,0.0,-2.6
RC3205947225,0.0,0.0,0.0,-2.6
RC3205947179,0.05,0.0,-0.05,-2.65
RC3205947101,0.1,0.0,-0.1,-2.75
RC3205946885,0.22,0.0,-0.22,-2.97
RC3205946855,0.0,0.0,0.0,-2.97
RC3205946826,0.0,0.0,0.0,-2.97
RC3205946795,0.0,0.0,0.0,-2.97
RC3205946697,0.05,0.0,-0.05,-3.02
RC3205946602,0.1,0.0,-0.1,-3.12
RC3205946576,0.0,0.0,0.0,-3.12
RC3205946551,0.0,0.0,0.0,-3.12
RC3205946518,0.0,0.0,0.0,-3.12
RC3205946481,0.0,0.0,0.0,-3.12
RC3205946435,0.05,0.0,-0.05,-3.17
RC3205946363,0.1,0.0,-0.1,-3.27
RC3205946336,0.0,0.0,0.0,-3.27
RC3205946309,0.0,0.0,0.0,-3.27
RC3205946279,0.0,0.0,0.0,-3.27
RC3205946248,0.0,0.0,0.0,-3.27
RC3205946139,0.3,0.4,0.10000000000000003,-3.17
RC3205946035,0.1,0.15000000000000002,0.05000000000000002,-3.12
RC3205946003,0.0,0.0,0.0,-3.12
RC3205945826,0.25,0.4,0.15000000000000002,-2.97
RC3205945800,0.0,0.0,0.0,-2.97
RC3205945771,0.0,0.0,0.0,-2.97
RC3205945739,0.05,0.0,-0.05,-3.02
RC3205945664,0.1,0.15000000000000002,0.05000000000000002,-2.97
RC3205945559,0.25,0.4,0.15000000000000002,-2.82
RC3205945531,0.0,0.0,0.0,-2.82
RC3205945499,0.0,0.0,0.0,-2.82
RC3205945467,0.05,0.0,-0.05,-2.87
RC3205945436,0.0,0.0,0.0,-2.87
RC3205945352,0.1,0.0,-0.1,-2.97
RC3205945323,0.0,0.0,0.0,-2.97
RC3205945294,0.0,0.0,0.0,-2.97
RC3205945266,0.0,0.0,0.0,-2.97
RC3205945242,0.0,0.0,0.0,-2.97
RC3205945196,0.05,0.0,-0.05,-3.02
RC3205945086,0.1,0.0,-0.1,-3.12
RC3205945056,0.0,0.0,0.0,-3.12
RC3205945018,0.0,0.0,0.0,-3.12
RC3205944990,0.0,0.0,0.0,-3.12
